2025-06-06 12:55:28 EEST LOG:  database system was shut down at 2025-06-06 12:54:53 EEST
2025-06-06 13:57:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 13:57:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:57:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 13:57:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 13:57:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:57:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 13:58:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 13:58:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:58:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 13:58:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 13:58:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:58:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 13:59:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 13:59:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:59:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 13:59:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 13:59:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 13:59:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:00:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 14:00:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:00:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:00:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 14:00:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:00:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:01:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 14:01:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:01:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:01:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 14:01:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:01:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:02:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 14:02:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:02:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:02:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 14:02:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:02:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:03:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 14:03:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:03:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:03:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 14:03:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:03:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:04:29 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-06 14:04:29 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:04:29 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:04:55 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-06 14:04:55 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-06 14:04:55 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-06 14:04:59 EEST WARNING:  database "postgres" has a collation version mismatch
2025-06-06 14:04:59 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-06 14:04:59 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-06 14:05:11 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-06 14:05:11 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-06 14:05:15 EEST ERROR:  canceling statement due to user request
2025-06-06 14:05:15 EEST LOG:  shutting down
2025-06-06 14:05:15 EEST LOG:  checkpoint starting: shutdown immediate
2025-06-06 14:05:15 EEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.011 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1B25250, redo lsn=0/1B25250
